Authors;DOI;Recods excluded based on title and abstract screening;Records excluded based on
"Baihetiyaer, B; Jiang, N; Li, XX; He, B; Wang, J; Fan, XT; Sun, HM; Yin, XQ";10.1016/j.envpol.2023.121285;;
"Bakr, Z; Abdel-Wahab, M; Thabet, AA; Hamed, M; Abd El-Aal, M; Saad, E; Faheem, M; Sayed, AEH";10.1016/j.apsoil.2022.104681;;Inconsistent information
"Boughattas, I; Hattab, S; Zitouni, N; Mkhinini, M; Missawi, O; Bousserrhine, N; Banni, M";10.1016/j.scitotenv.2021.148959;;Authors did not include a control soil with no NMP
"Boughattas, I; Zitouni, N; Hattab, S; Mkhinini, M; Missawi, O; Helaoui, S; Mokni, M; Bousserrhine, N; Banni, M";10.1016/j.jhazmat.2021.127578;;Authors exposed earthworms with mixture of different polymers
"Cao, J; Wang, Q; Lei, YM; Jiang, XF; Li, M";10.1016/j.envint.2022.107590;;Not clear information
"Chen, KY; Tang, RG; Luo, YM; Chen, YC; EI-Naggar, A; Du, JH; Bu, A; Yan, Y; Lu, XH; Cai, YJ; Chang, SX";10.1016/j.jhazmat.2021.128176;;Authors did not measure ROS marker
"Chen, YL; Liu, XN; Leng, YF; Wang, J";10.1016/j.ecoenv.2019.109788;;
"Cheng, YL; Zhu, LS; Song, WH; Jiang, CY; Li, B; Du, ZK; Wang, JH; Wang, J; Li, DT; Zhang, KH";10.1016/j.scitotenv.2020.141280;;
"Fu, HM; Zhu, LZ; Mao, LA; Zhang, L; Zhang, YN; Chang, YM; Liu, XA; Jiang, HY";10.1016/j.scitotenv.2023.161795;;Authors combined MP exposure with imidacloprid exposure
"Gomiero, A; Strafella, P; Pellini, G; Salvalaggio, V; Fabi, G";10.3389/fmars.2018.00099;Yes;No terrestrail annelids were used
"Gong, WW; Li, HF; Wang, JC; Zhou, JH; Zhao, HK; Wang, XX; Qu, H; Lu, AX";10.3390/toxics11020112;Yes;Review/Meta analysis
"Guo, SQ; Shi, HJ; Qi, YT; Tian, G; Wang, TT; He, FL; Li, XX; Liu, RT";10.1016/j.scitotenv.2023.167264;Yes;Only single cells were studied
"Hamidianfar, N; Chamani, A; Ataabadi, M; Zamani-Ahmadmahmoodi, R";10.1007/s11270-023-06530-2;;Tire wear particles were used
"He, FL; Shi, HJ; Liu, RT; Tian, G; Qi, YT; Wang, TT";10.1016/j.scitotenv.2023.162854;;
"Holzinger, A; Mair, MM; Luecker, D; Seidenath, D; Opel, T; Langhof, N; Otti, O; Feldhaar, H";10.1016/j.scitotenv.2022.156387;;
"Jiang, XF; Cao, J; Ye, ZQ; Klobucar, G; Li, M";10.1021/acs.est.3c04097;;
"Jiang, XF; Chang, YQ; Zhang, T; Qiao, Y; Klobucar, G; Li, M";10.1016/j.envpol.2019.113896;;
"Lackmann, C; Velki, M; Simic, A; Müller, A; Braun, U; Ecimovic, S; Hollert, H";10.1016/j.envint.2022.107190;;MP contain flame retardant HBCD
"Li, B; Song, WH; Cheng, YL; Zhang, KH; Tian, HM; Du, ZK; Wang, JH; Wang, J; Zhang, W; Zhu, LS";10.1016/j.scitotenv.2021.147007;;
"Li, M; Jia, H; Gao, QC; Han, S; Yu, Y; Sun, L";10.1016/j.chemosphere.2022.136833;;
"Li, M; Liu, Y; Xu, GH; Wang, Y; Yu, Y";10.1016/j.scitotenv.2020.144037;;
"Liang, XY; Zhou, DX; Wang, JH; Li, YF; Liu, Y; Ning, YC";10.1016/j.scitotenv.2022.155747;;Earthwomrs co-exposed with cadmium
"Liu, JB; Qin, JJ; Zhu, L; Zhu, KC; Liu, Z; Jia, HZ; Lichtfouse, E";10.1016/j.envint.2022.107158;;
"Liu, Y; Xu, GH; Yu, Y";10.1016/j.chemosphere.2022.134059;;Authors combined MP exposure with pyrene exposure
"Liwarska-Bizukojc, E; Bernat, PL; Jasinska, A";10.1016/j.scitotenv.2023.165423;;
"Marco, ZEB; Sáez, JA; Torres, AMP; Sabater, EM; Orden, L; Andreu-Rodríguez, FJ; Bustamante, MA; Marhuenda-Egea, FC; López, MJ; Suárez-Estrella, F; Moral, R";10.1016/j.envpol.2023.122027;;Inconsistent information
"Ning, YC; Wang, X; Lu, JY; Li, YF; Yang, YN; Zou, DT; Zhou, DX";10.1016/j.ecoenv.2023.114500;;No raw data could be recieved
"Ning, YC; Zhou, HR; Wang, X; Lu, JY; Yang, YN; Zou, DT; Zhou, DX";10.1007/s11356-023-26836-2;Yes;No oxididative stress was measured
"Nogueira, AF; Nunes, B";10.1007/s11356-020-12046-7;Yes;No terrestrail annelids were used
"Nunes, SM; Josende, ME; Fattorini, D; Regoli, F; Monserrat, JM; Ventura-Lima, J";10.1093/toxres/tfad066;Yes;No terrestrail annelids were used
"Prendergast-Miller, MT; Katsiamides, A; Abbass, M; Sturzenbaum, SR; Thorpe, KL; Hodson, ME";10.1016/j.envpol.2019.05.037;;
"Prokic, MD; Gavrilovic, BR; Radovanovic, TB; Gavric, JP; Petrovic, TG; Despotovic, SG; Faggio, C";10.1016/j.jhazmat.2021.125476;Yes;Review/Meta analysis
"Rede, D; Delerue-Matos, C; Fernandes, VC";10.3390/polym15163356;Yes;Review/Meta analysis
"Rodríguez-Seijo, A; da Costa, JP; Rocha-Santos, T; Duarte, AC; Pereira, R";10.1007/s11356-018-3317-z;;
"Rodríguez-Seijo, A; Santos, B; da Silva, EF; Cachada, A; Pereira, R";10.1071/EN18162;;
"Sáez, JA; Torres, AMP; Marco, ZEB; Andreu-Rodríguez, FJ; Marhuenda-Egea, FC; Martínez-Sabater, E; López, MJ; Suarez-Estrella, F; Moral, R";10.3390/agronomy12102547;;Authors did not use NMP
"Shang, GS; Zhai, JJ; Xu, GX; Wang, LL; Wang, X";10.1016/j.scitotenv.2023.166953;;
"Sheng, YF; Liu, Y; Wang, KW; Cizdziel, JV; Wu, YC; Zhou, Y";10.1016/j.scitotenv.2021.148613;;Tire wear particles were used
"Silva, CJM; Silva, ALP; Campos, D; Soares, AMVM; Pestana, JLT; Gravato, C";10.1016/j.ecoenv.2020.111375;Yes;No terrestrail annelids were used
"Sun, W; Meng, ZY; Li, RS; Zhang, RK; Jia, M; Yan, S; Tian, SN; Zhou, ZQ; Zhu, WT";10.1016/j.chemosphere.2020.128171;;
"Tang, RG; Zhu, D; Luo, YM; He, DF; Zhang, HB; Ali, EN; Palansooriya, KN; Chen, KY; Yan, Y; Lu, XH; Ying, MS; Sun, T; Cao, YT; Diao, ZH; Zhang, YX; Lian, YC; Chang, SX; Cai, YJ";10.1016/j.jhazmat.2022.130034;;Authors did not measure ROS marker
"Urban-Malinga, B; Jakubowska-Lehrmann, M; Bia, M; Hallmann, A";10.1016/j.marenvres.2022.105660;Yes;No terrestrail annelids were used
"Wang, J; Coffin, S; Sun, CL; Schlenk, D; Gan, J";10.1016/j.envpol.2019.03.102;;
"Xiao, X; He, ER; Jiang, XF; Li, X; Yang, WJ; Ruan, JJ; Zhao, CM; Qiu, RL; Tang, YT";10.1016/j.envpol.2022.119436;;
"Yu, H; Shi, LL; Fan, P; Xi, BD; Tan, WB";10.1016/j.chemosphere.2022.135940;;No raw data could be recieved
"Zhang, SW; Ren, S; Pei, L; Sun, YH; Wang, FY";10.1016/j.apsoil.2022.104469;;
"Zhao, YY; Jia, HT; Deng, H; Xing, WZ; Feng, D; Li, JT; Ge, CJ; Yu, HM; Zhang, Y; Chen, HY";10.1016/j.scitotenv.2022.160092;;
"Zhou, YF; He, G; Jiang, H; Pan, K; Liu, WZ";10.1016/j.envint.2023.107899;;MP had functional groups
"Zhou, YF; Liu, XN; Wang, J";10.1016/j.jhazmat.2020.122273;Yes;No oxididative stress was measured
