Author Full Names;DOI;Recods excluded based on title and abstract screening;Why not included in analysis?
"Alesci, Alessio; Di Paola, Davide; Fumia, Angelo; Marino, Sebastian; D'Iglio, Claudio; Famulari, Sergio; Albano, Marco; Spano, Nunziacarla; Lauriano, Eugenia Rita";10.3390/toxics11090731;Yes;No terrestrial annelids were used
"Baihetiyaer, Baikerouzi; Jiang, Nan; Li, Xianxu; He, Bo; Wang, Jun; Fan, Xiaoteng; Sun, Huimin; Yin, Xianqiang";10.1016/j.envpol.2023.121285;;
"Baihetiyaer, Baikerouzi; Jiang, Nan; Li, Xianxu; Song, Jie; Wang, Jun; Fan, Xiaoteng; Zuo, Yajie; Yin, Xianqiang";10.1016/j.envpol.2023.122547;Yes;No ROS marker was measured
"Bandeira, Felipe Ogliari; Lodi, Mikael Renan; Graciani, Thalia Smaniotto; Oroski, Sabrina; Mattias, Jorge Luis; Bran Nogueira Cardoso, Elke Jurandy; Lopes Alves, Paulo Roger";10.1007/s11356-022-23584-7;Yes;No terrestrial annelids were used
"Chandran, Naveen Njattuvetty; Fojtova, Dana; Blahova, Lucie; Rozmankova, Eliska; Blaha, Ludek";10.1016/j.chemosphere.2018.06.102;Yes;No terrestrial annelids were used
"Chowdhary, A. B.; Singh, J.; Quadar, J.; Singh, S.; Dutta, R.; Angmo, D.; Vig, A. P.";10.1016/j.pestbp.2023.105639;;
"Chowdhary, Anu Bala; Dutta, Rahil; Singh, Jaswinder; Tikoria, Raman; Quadar, Jahangeer; Angmo, Deachen; Singh, Atamjit; Singh, Sharanpreet; Vig, Adarsh Pal";10.1007/s13762-022-04092-0;;
"de Araujo, Gabriel Farias; Santo, Danielli Gundes do Espirito; Sales Junior, Sidney Fernandes; Correia, Fabio Verissimo; Saggioro, Enrico Mendes";10.1016/j.scitotenv.2023.167271;;
"Deng, Yao; Wang, Ran; Song, Bangyan; Yang, Ya; Hu, Deyu; Xiao, Xin; Chen, Xiaohua; Lu, Ping";10.1016/j.scitotenv.2022.153007;Yes;No terrestrial annelids were used
"Elango, Duraisamy; Kayalvizhi, Nagarajan; Jayanthi, Palaniyappan";10.1007/s00128-023-03731-7;;
"Fajana, Hamzat O.; Gainer, Amy; Jegede, Olukayode O.; Awuah, Kobby F.; Princz, Juliska I.; Owojori, Olugbenga J.; Siciliano, Steven D.";10.1002/etc.4574;Yes;No terrestrial annelids were used
"Feng, Lei; Zhang, Lan; Zhang, Yanning; Zhang, Pei; Jiang, Hongyun";10.1007/s11356-015-4122-6;;
"Fu, Huimin; Zhu, Lizhen; Mao, Liangang; Zhang, Lan; Zhang, Yanning; Chang, Yiming; Liu, Xingang; Jiang, Hongyun";10.1016/j.scitotenv.2023.161795;;
"Hackenberger, Davorka K.; Stjepanovic, Nikolina; Loncaric, Zeljka; Hackenberger, Branimir K.";10.1016/j.chemosphere.2018.06.047;Yes;No neonics were used
"He, Falin; Wan, Jingqiang; Huo, Chengqian; Li, Xiangxiang; Cui, Zhihan; Li, Yuze; Liu, Rutao; Zong, Wansong";10.1016/j.jenvman.2023.119456;Yes;Only single cells were studied
"Huslystyi, Artem; Nedzvetsky, Victor; Yermolenko, Serhii; Gasso, Viktor; Petrushevskyi, Vladyslav; Sukharenko, Elena";10.18052/www.scipress.com/ILNS.84.1;;Only contact test
"Kaur, Harpreet; Hundal, S. S.";10.17582/journal.pjz/20210213070255;;Only contact test
"Kreutzweiser, David P.; Good, Kevin P.; Chartrand, Derek T.; Scarr, Taylor A.; Holmes, Stephen B.; Thompson, Dean G.";10.1002/ps.1478;Yes;No ROS marker was measured
"Lackmann, Carina; Simic, Antonio; Ecimovic, Sandra; Mikuska, Alma; Seiler, Thomas-Benjamin; Hollert, Henner; Velki, Mirna";10.3390/agriculture13020271;;
"Lackmann, Carina; Velki, Mirna; Bjedov, Dora; Ecimovic, Sandra; Seiler, Thomas-Benjamin; Hollert, Henner";10.1186/s12302-021-00455-5;;
"Li, Bing; Xia, Xiaoming; Wang, Jinhua; Zhu, Lusheng; Wang, Jun; Wang, Guangchi";10.1016/j.ecoenv.2018.06.022;;
"Liu, Tong; Chen, Dan; Li, Yiqiang; Wang, Xiuguo; Wang, Fenglong";10.1021/acs.jafc.8b00285;;
"Liu, Tong; Wang, Xiuguo; Xu, Jinli; You, Xiangwei; Chen, Dan; Wang, Fenglong; Li, Yiqiang";10.1016/j.chemosphere.2017.02.113;;
"Liu, Tong; Wang, Xiuguo; You, Xiangwei; Chen, Dan; Li, Yiqiang; Wang, Fenglong";10.1016/j.ecoenv.2017.04.012;;
"Liu, Tong; Zhang, Xiaolian; Wang, Xiuguo; Chen, Dan; Li, Yiqiang; Wang, Fenglong";10.1016/j.envpol.2017.12.007;;No neonics were used, only metabolites
"Lopes Alves, Paulo Roger; de Araujo, Rafael Soares; Ogliari Bandeira, Felipe; Matias, William Gerson";10.1080/15287394.2023.2174464;Yes;No terrestrial annelids were used
"Louati, Kaouthar; Maalej, Amina; Kolsi, Fatma; Kallel, Rim; Gdoura, Yassine; Borni, Mahdi; Hakim, Leila Sellami; Zribi, Rania; Choura, Sirine; Sayadi, Sami; Chamkha, Mohamed; Mnif, Basma; Khemakhem, Zouheir; Boudawara, Tahya Sellami; Boudawara, Mohamed Zaher; Safta, Fathi";10.1021/acs.jproteome.3c00484;Yes;No ROS marker was measured
"Nyoka, Ngitheni Winnie-Kate; Ogbeide, Ozekeke; Otomo, Patricks Voua";10.1007/s42773-021-00103-4;;
"Qi, Suzhen; Wang, Donghui; Zhu, Lizhen; Teng, Miaomiao; Wang, Chengju; Xue, Xiaofeng; Wu, Liming";10.1007/s11356-018-1624-z;Yes;No terrestrial annelids were used
"Qi, Suzhen; Wang, Donghui; Zhu, Lizhen; Teng, Miaomiao; Wang, Chengju; Xue, Xiaofeng; Wu, Liming";10.1016/j.ecoenv.2017.10.042;;
"Qiao, Zhihua; Li, Peiyao; Tan, Jiaqi; Peng, Cheng; Zhang, Fengwen; Zhang, Wei; Jiang, Xingyin";10.1016/j.jenvman.2022.115989;;
"Saggioro, Enrico Mendes; do Espirito Santo, Danielli Gundes; Sales Junior, Sidney Fernandes; Hauser-Davis, Rachel Ann; Correia, Fabio Verissimo";10.1016/j.ecoenv.2019.109572;;
"Sardo, A. M.; Soares, A. M. V. M.";10.1007/s00244-010-9470-0;Yes;No terrestrial annelids were used
"Schwarzbacherova, Viera; Wnuk, Maciej; Deregowska, Anna; Holeckova, Beata; Lewinska, Anna";10.1016/j.tiv.2019.104654;Yes;Only single cells were studied
"Wang, Can; Yao, Xiangfeng; Li, Xianxu; Wang, Qian; Jiang, Nan; Hu, Xue; Lv, Huijuan; Mu, Baoyan; Wang, Jun";10.1016/j.jhazmat.2023.132865;Yes;No neonics were used
"Wang, Juan; Wang, Jinhua; Wang, Guangchi; Zhu, Lusheng; Wang, Jun";10.1016/j.chemosphere.2015.09.004;;
"Wang, Kai; Mu, Xiyan; Qi, Suzhen; Chai, Tingting; Pang, Sen; Yang, Yang; Wang, Chengju; Jiang, Jiazhen";10.1016/j.ecoenv.2014.12.037;;
"Wang, Xing; Zhu, Xinping; Peng, Qi; Wang, Yanhua; Ge, Jing; Yang, Guiling; Wang, Xinquan; Cai, Leiming; Shen, Weifeng";10.1146/annurev-pharmtox-010617-052429;;
"Wang, Xu; Anadon, Arturo; Wu, Qinghua; Qiao, Fang; Ares, Irma; Martinez-Larranaga, Maria-Rosa; Yuan, Zonghui; Martinez, Maria-Aranzazu";10.1016/j.chemosphere.2018.12.001;Yes;Review/Meta analysis
"Wang, Yan-Qing; Zhang, Hong-Mei; Chen, Tao";10.1007/s11356-023-29980;Yes;No ROS marker was measured
"Wang, Yi-zhe; Cao, Cheng-quan; Wang, Dun";10.1016/j.molstruc.2014.04.080;Yes;No terrestrial annelids were used
"Wang, Yuankai; Wang, Yuankui; Agarry, Israel Emiezi; Zhou, Chunjie; Shi, Hui; Zeng, Quanheng; Cai, Tian; Chen, Kewei";10.3389/fphys.2022.879216;Yes;No terrestrial annelids were used
"Wei, Fenghua; Wang, Dali; Li, Huizhen; You, Jing";10.1016/j.aquatox.2021.105783;Yes;No terrestrial annelids were used
"Yan, Xiaojing; Wang, Jinhua; Zhu, Lusheng; Wang, Jun; Li, Shuyan; Kim, Young Mo";10.1016/j.scitotenv.2020.141873;;No control without neonics
"Zeljezic, Davor; Vinkovic, Benjamin; Kasuba, Vilena; Kopjar, Nevenka; Milic, Mirta; Mladinic, Marin";10.1016/j.chemosphere.2017.05.010;Yes;No terrestrial annelids were used
"Zhang, Haiyun; Aspinall, Julia Vidonish; Lv, Weiguang; Zheng, Xianqing; Zhang, Hanlin; Li, Shuangxi; Zhang, Juanqin; Bai, Naling; Zhang, Yue; Wang, Xilong";10.1016/j.jhazmat.2021.126001;Yes;No ROS marker was measured
"Zhang, Jianyun; Xiong, Kang; Chen, An; Li, Feixue";10.1080/15320383.2017.1276153;;
"Zhang, Qingming; Zhang, Baohua; Wang, Caixia";10.1007/s11356-014-3178-z;;
"Zhang, Wenjie; Xia, Xiaoming; Wang, Jinhua; Zhu, Lusheng; Wang, Jun; Wang, Guangchi; Chen, Yangyang; Kim, Young Mo";10.1016/j.chemosphere.2020.128493;;
"Zhang, Xiaolian; Wang, Xiuguo; Liu, Yalei; Fang, Kuan; Liu, Tong";10.3390/ijerph17051740;;
"Zhang, Yanning; Zhang, Lan; Feng, Lei; Mao, Liangang; Jiang, Hongyun";10.1016/j.cbpc.2016.09.001;;Measurement only after recovery period
